HJD,dmag,err
5764.72823,5.3816,0.0051
5764.72907,5.373,0.0051
5764.7299,5.4286,0.005
5764.73073,5.3577,0.0052
5764.73157,5.419,0.005
5764.7324,5.3525,0.0052
5764.73323,5.3394,0.0053
5764.73407,5.4131,0.0051
5764.7349,5.4081,0.0051
5764.73573,5.3889,0.0052
5764.73657,5.385,0.0051
5764.7374,5.3934,0.0051
5764.73823,5.3873,0.005
5764.73907,5.3963,0.005
5764.7399,5.4004,0.0051
5764.74073,5.3744,0.0052
5764.74157,5.4066,0.0051
5764.7424,5.3936,0.0051
5764.74324,5.3855,0.0052
5764.74408,5.4052,0.0051
5764.74492,5.3976,0.0053
5764.74576,5.3947,0.0051
5764.74659,5.384,0.0054
5764.74743,5.397,0.0051
5764.74827,5.401,0.0052
5764.7491,5.3855,0.0051
5764.74993,5.4002,0.0051
5764.75077,5.397,0.0051
5764.7516,5.3933,0.0052
5764.75244,5.3596,0.0054
5764.75328,5.3777,0.0052
5764.75411,5.3793,0.0052
5764.75494,5.3639,0.0054
5764.75578,5.3937,0.0053
5764.75661,5.397,0.0052
5764.75746,5.3805,0.0052
5764.75829,5.3943,0.0053
5764.75912,5.3905,0.0052
5764.75996,5.3958,0.0052
5764.76079,5.3815,0.0052
5764.76162,5.3793,0.0053
5764.76247,5.393,0.0053
5764.7633,5.3861,0.0052
5764.76413,5.3897,0.0052
5764.76497,5.3877,0.0053
5764.7658,5.3968,0.0052
5764.76663,5.3781,0.0052
5764.76747,5.3964,0.0053
5764.77784,5.3785,0.0054
5764.77868,5.3881,0.0054
5764.7795,5.3858,0.0052
5764.78034,5.3977,0.0053
5764.78117,5.3787,0.0054
5764.782,5.3858,0.0054
5764.78284,5.3794,0.0055
5764.78367,5.4028,0.0056
5764.7845,5.3848,0.0054
5764.78534,5.3867,0.0054
5764.78618,5.3774,0.0053
5764.787,5.4029,0.0053
5764.78785,5.3767,0.0053
5764.78868,5.3822,0.0054
5764.78952,5.3911,0.0055
5764.79035,5.3847,0.0055
5764.79118,5.3931,0.0055
5764.79203,5.3793,0.0055
5764.79286,5.3775,0.0056
5764.79369,5.3927,0.0056
5764.79453,5.2983,0.0056
5764.79536,5.3797,0.0054
5764.79619,5.3835,0.0057
5764.79714,5.4025,0.0058
5764.79798,5.3809,0.0054
5764.79881,5.3758,0.0056
5764.79964,5.3941,0.0058
5764.80047,5.3781,0.0055
5764.80131,5.4042,0.0057
5764.80214,5.3899,0.0056
5764.80299,5.3936,0.0057
5764.80382,5.3963,0.0059
5764.80465,5.3891,0.0059
5764.80549,5.3983,0.0058
5764.80632,5.3904,0.0056
5764.80716,5.3953,0.0059
5764.808,5.3909,0.0059
5764.80883,5.4059,0.0057
5764.80966,5.3739,0.0058
5764.8105,5.3848,0.006
5764.81133,5.386,0.0056
5765.54813,4.9759,0.0063
5765.54888,4.9601,0.0063
5765.55913,4.9681,0.0061
5765.5598,4.9663,0.0062
5765.56343,4.9466,0.0062
5765.56419,4.9539,0.0062
5765.57072,4.9276,0.0062
5765.5712,4.9413,0.0061
5765.57415,4.9363,0.0061
5765.57465,4.9539,0.0061
5765.58165,4.9511,0.0061
5765.58225,4.9337,0.0062
5765.58594,4.9337,0.0062
5765.58656,4.9406,0.0062
5765.59005,4.9299,0.0061
5765.59075,4.9339,0.0061
5765.59401,4.9423,0.0061
5765.59608,4.9239,0.0061
5765.60264,4.8865,0.0063
5765.60321,4.9391,0.0062
5765.60637,4.9368,0.0062
5765.60693,4.9353,0.0062
5765.60997,4.8529,0.0065
5765.6106,4.9358,0.0062
5765.61443,4.9288,0.0062
5765.61495,4.9115,0.0063
5765.61894,4.9315,0.0062
5765.61954,4.9235,0.0063
5765.62434,4.9108,0.0063
5765.62489,4.9212,0.0063
5765.63219,4.9189,0.0063
5765.6327,4.9271,0.0064
5765.63679,4.9154,0.0063
5765.63733,4.9082,0.0063
5765.6407,4.9029,0.0063
5765.64122,4.909,0.0063
5765.6463,4.8717,0.0065
5765.64677,4.9247,0.0064
5765.65133,4.9052,0.0064
5765.65181,4.9241,0.0063
5765.65448,4.943,0.0063
5765.65513,4.9087,0.0063
5765.65903,4.9127,0.0063
5765.65974,4.9309,0.0063
5765.6668,4.9054,0.0064
5765.66757,4.888,0.0065
5765.67199,4.9094,0.0063
5765.67291,4.8971,0.0064
5765.6778,4.8886,0.0065
5765.67826,4.9109,0.0064
5765.68324,4.9241,0.0064
5765.68432,4.9264,0.0065
5765.69164,4.8678,0.0067
5765.6923,4.921,0.0067
5765.69619,4.8983,0.0065
5765.69666,4.8976,0.0065
5765.7017,4.9196,0.0067
5765.70242,4.9023,0.0066
5765.70763,4.8978,0.0067
5765.70817,4.9035,0.0066
5765.71234,4.9092,0.0067
5765.71289,4.8959,0.0066
5765.72298,4.9188,0.0068
5765.72345,4.9069,0.0067
5765.73061,4.8703,0.0068
5765.73113,4.9004,0.007
5765.73372,4.9093,0.0067
5765.73438,4.8923,0.0072
5765.73721,4.9204,0.0071
5765.73767,4.9016,0.0071
5765.74664,4.8793,0.007
5765.74914,4.8439,0.0072
5765.7539,4.8473,0.0075
5765.7549,4.9022,0.0069
5765.75584,4.9085,0.0075
5765.76162,4.9042,0.0076
5765.76208,4.9031,0.0077
5765.7675,4.9059,0.0077
5765.76865,4.8061,0.0076
5765.7737,4.8669,0.0073
5765.77417,4.8956,0.0075
5765.77864,4.8965,0.0078
5765.77928,4.8504,0.0074
5765.78337,4.8179,0.0077
5765.78387,4.8871,0.0079
5765.78814,4.8953,0.0079
5765.78886,4.882,0.0074
5765.79417,4.863,0.0073
5765.79463,4.8703,0.0074
5765.79877,4.8779,0.0073
5765.79921,4.8998,0.0082
5766.54526,4.5958,0.008
5766.55456,4.5818,0.0078
5766.56404,4.5989,0.0078
5766.57502,4.5733,0.0076
5766.57833,4.508,0.0079
5766.58165,4.4711,0.0081
5766.58577,4.5025,0.008
5766.589,4.5112,0.0081
5766.60032,4.5431,0.0077
5766.60487,4.5514,0.0077
5766.61157,4.5548,0.0078
5766.61453,4.5354,0.0076
5766.61737,4.4977,0.0078
5766.6252,4.5405,0.0078
5766.62953,4.5758,0.0076
5766.63387,4.545,0.008
5766.63736,4.5536,0.0078
5766.64096,4.5722,0.0077
5766.64325,4.5553,0.0077
5766.65008,4.5463,0.0077
5766.65436,4.5496,0.0078
5766.65635,4.5342,0.0077
5766.66146,4.5327,0.0079
5766.66454,4.5537,0.0079
5766.66687,4.5348,0.0078
5766.6736,4.5563,0.0079
5766.68055,4.5399,0.0078
5766.68138,4.5412,0.0078
5766.68221,4.5484,0.0079
5766.68305,4.554,0.0081
5766.68388,4.5303,0.0079
5766.68471,4.543,0.0079
5766.68555,4.5416,0.0078
5766.68638,4.5519,0.008
5766.68721,4.544,0.008
5766.68805,4.538,0.0079
5766.68888,4.5423,0.0079
5766.68971,4.5319,0.008
5766.69055,4.548,0.0079
5766.69138,4.5425,0.0083
5766.69221,4.5317,0.008
5766.69305,4.5409,0.008
5766.69388,4.5284,0.008
5766.69471,4.536,0.008
5766.69555,4.5061,0.0081
5766.69638,4.557,0.008
5766.69722,4.5487,0.0081
5766.69806,4.5284,0.008
5766.69889,4.5603,0.0082
5766.69971,4.5387,0.0079
5766.70055,4.5366,0.008
5766.70139,4.5275,0.0081
5766.70222,4.5268,0.0079
5766.70305,4.5208,0.008
5766.70388,4.5292,0.0079
5766.70472,4.5372,0.0081
5766.70556,4.5431,0.0079
5766.70639,4.5308,0.0082
5766.70724,4.5123,0.0084
5766.70806,4.54,0.0081
5766.72009,4.5456,0.0081
5766.72156,4.5425,0.0081
5766.72689,4.5347,0.008
5766.72975,4.5485,0.0081
5766.73225,4.5311,0.0081
