HJD,dmag,err
5715.84257,1.6803,0.0295
5715.85697,1.5566,0.0378
5715.8851,1.6505,0.0352
5715.89814,1.6999,0.0291
5715.91272,1.5939,0.0367
5716.57598,1.6302,0.0358
5716.58563,1.6655,0.0348
5716.59828,1.5781,0.0372
5716.61301,1.695,0.0341
5716.62563,1.6199,0.036
5716.64796,1.6655,0.0299
5716.66058,1.6352,0.0306
5716.67334,1.6901,0.0293
5716.68604,1.6704,0.0347
5716.71235,1.6803,0.0295
5716.72606,1.6147,0.031
5716.73944,1.6044,0.0313
5716.75247,1.6555,0.0301
5716.76951,1.6505,0.0302
5716.78314,1.5886,0.0316
5716.79633,1.6096,0.0311
5716.80938,1.5727,0.032
5716.82221,1.5403,0.0383
5716.83519,1.6454,0.0303
5716.84808,1.4557,0.0408
5716.863,1.6454,0.0303
5716.87564,1.6199,0.0309
5716.88828,1.6096,0.0363
5716.90215,1.6403,0.0355
5721.55291,1.8028,0.0316
5721.57057,1.8072,0.0225
5721.59097,1.7846,0.0274
5721.60346,1.6302,0.0307
5721.61592,1.7476,0.0281
5721.62835,1.7937,0.0272
5721.64603,1.8515,0.0261
5721.66826,1.7846,0.0228
5721.68079,1.8383,0.0264
5721.69329,1.7846,0.0274
5721.70653,1.7382,0.0236
5721.72212,1.8072,0.0269
5721.73716,1.7892,0.0273
5721.76117,1.6852,0.0294
5721.77495,1.7239,0.0239
5721.78789,1.7144,0.024
5721.80072,1.5834,0.0265
5721.81363,1.5239,0.0221
5721.82696,1.7708,0.0277
5721.84182,1.7239,0.0286
5721.86619,1.7429,0.0282
5721.87891,1.6852,0.0393
5721.89173,1.6555,0.0351
5721.90453,1.8601,0.0346
5721.92238,1.7382,0.0378
5722.54357,1.6901,0.0293
5722.56735,1.7476,0.0281
5722.59966,1.7144,0.0288
5722.61325,1.6852,0.0294
5722.62679,1.7616,0.0278
5722.64062,1.7569,0.0233
5722.65406,1.8028,0.027
5722.66764,1.78,0.0275
5722.68123,1.7708,0.0277
5722.69523,1.8295,0.0265
5722.70883,1.8295,0.0265
5722.72271,1.7287,0.0238
5722.73745,1.8072,0.0225
5722.76074,1.7569,0.0233
5722.77383,1.7754,0.023
5722.78661,1.7239,0.0286
5722.80047,1.7708,0.0277
5722.8134,1.8515,0.0261
5722.82815,1.7523,0.028
5723.54019,1.8515,0.0305
5723.55439,1.7982,0.0316
5723.56683,1.7662,0.0278
5723.57965,1.78,0.0275
5723.60241,1.7846,0.0274
5723.61501,1.7846,0.0274
5723.62778,1.7982,0.0271
5723.64984,1.8117,0.0269
5723.66259,1.7239,0.0286
5723.67778,1.8117,0.0269
5723.69048,1.78,0.0275
5723.70394,1.8515,0.0261
5723.71746,1.8117,0.0269
5723.731,1.8295,0.0265
5723.7446,1.78,0.0275
5723.75732,1.7335,0.0237
5723.76993,1.7708,0.0231
5723.78307,1.7846,0.0228
5723.79593,1.7429,0.0235
5723.80895,1.8943,0.0211
5723.82212,1.8028,0.027
5723.83553,1.7846,0.0274
5723.8486,1.7616,0.0278
5723.8616,1.8339,0.0309
5724.53854,1.6852,0.0442
5724.54832,1.7754,0.046
5724.56601,1.7754,0.0322
5724.57859,1.7982,0.0316
5724.59283,1.8383,0.0308
5724.6054,1.8773,0.0299
5724.61805,1.8471,0.0306
5724.63057,1.8427,0.035
5724.64304,1.7982,0.0316
5724.65612,1.8558,0.0304
5724.66866,1.8162,0.0312
5724.68176,1.7616,0.0325
5724.69514,1.8688,0.0301
5724.7175,1.7846,0.032
5724.73165,1.8339,0.0264
5724.74509,1.7982,0.0271
5724.76731,1.7754,0.0276
5724.78017,1.7616,0.0325
5724.79552,1.8117,0.0313
5724.80836,1.8162,0.0312
5724.82092,1.8207,0.0311
5725.5361,1.8601,0.0303
5725.55836,1.7892,0.0273
5725.57184,1.8688,0.0215
5725.58526,1.7982,0.0226
5725.59873,1.9724,0.02
5725.61224,1.7616,0.0232
5725.62577,1.7846,0.0274
5725.63934,1.8558,0.0217
5725.6536,1.8383,0.0264
5725.6774,1.8162,0.0223
5725.69239,1.8383,0.022
5725.7061,1.8558,0.0217
5725.7193,1.9684,0.0201
5725.73299,1.7937,0.0227
5725.74576,1.8207,0.0222
5725.75863,1.7616,0.0278
5725.77134,1.7892,0.0273
5725.78444,1.8028,0.027
5725.7981,1.8515,0.0261
5726.53793,1.8383,0.0439
5726.54822,1.8471,0.0306
5726.56007,1.8471,0.0306
5726.57272,1.8471,0.0306
5726.59458,1.8558,0.0304
5726.60711,1.8471,0.0306
5726.61978,1.8688,0.0301
5726.63245,1.8731,0.03
5726.645,1.8162,0.0312
