HJD,dmag,err
5663.15396,1.3237,0.1303
5663.16505,1.1879,0.115
5663.17616,1.1899,0.0973
5663.18852,1.0167,0.0734
5663.19961,1.1159,0.1606
5663.21071,1.1932,0.1082
5663.22308,1.126,0.0816
5663.23418,1.0842,0.133
5663.24653,1.2331,0.1201
5663.2596,0.7851,0.3719
5664.02057,1.0904,0.0784
5664.03413,0.9761,0.1201
5664.04521,0.8898,0.1519
5664.06001,1.1254,0.1144
5664.07114,1.1242,0.0755
5664.08225,1.1903,0.1258
5664.0946,1.2444,0.1226
5664.10695,1.1443,0.0615
5664.12299,1.2406,0.0745
5664.14149,1.2434,0.1273
5664.15507,1.2013,0.1226
5664.17111,0.8701,0.186
5664.18608,1.2533,0.1224
5664.19843,1.3702,0.1508
5664.21078,1.166,0.0974
5664.22434,1.2199,0.0763
5664.23918,1.2086,0.0892
5664.2515,1.0317,0.0757
5664.2651,0.9188,0.1479
5665.14701,1.2928,0.2364
5665.16305,3.5614,0.5474
5665.25312,1.3651,0.0989
5665.26932,1.6356,0.2614
5667.05146,0.9865,0.1498
5667.11315,1.2247,0.211
5667.11932,2.8178,0.6973
5667.14382,1.0507,0.0822
5667.15986,1.169,0.0765
5667.17221,1.1249,0.0658
5667.18455,1.0056,0.0713
5668.04755,0.8195,0.9172
5668.05988,0.9591,0.5754
5669.96044,1.2255,0.1979
5669.9666,1.1066,0.1869
5669.97276,1.2183,0.1473
5669.97892,0.1636,0.3405
5669.98631,1.1611,0.157
5669.9974,0.9279,0.1923
5670.00357,1.0793,0.137
5670.0122,1.2025,0.1163
5670.02083,1.1193,0.1038
5670.02331,1.1755,0.1124
5670.02454,1.0826,0.1036
5670.02701,1.2617,0.0922
5670.02825,1.126,0.1072
5670.03237,1.1654,0.1089
5670.0373,1.1852,0.0962
5670.04099,0.9796,0.1055
5670.04593,1.0805,0.1315
5670.05087,1.0642,0.091
5670.05971,1.0033,0.1044
5670.06465,0.9764,0.125
5670.06957,0.9945,0.0969
5670.07204,0.839,0.1251
5670.07327,1.1702,0.0856
5670.0745,1.0713,0.0963
5670.07574,0.9968,0.0895
5670.07697,1.0916,0.095
5670.07943,1.0275,0.0995
5670.08435,1.2057,0.0935
5670.08559,1.1025,0.0949
5670.08682,1.27,0.0899
5670.08806,1.2644,0.0926
5670.08929,1.1363,0.1035
5670.09052,1.1427,0.0799
5670.09545,1.3493,0.0773
5670.09916,0.9282,0.1249
5670.1041,1.2639,0.1017
5670.10533,0.8704,0.1177
5670.10656,0.862,0.154
5670.1078,1.3848,0.1038
5670.11574,1.0704,0.0984
5670.12022,0.986,0.1205
5670.12393,0.8726,0.1263
5670.12764,1.1696,0.0858
5670.13134,1.3068,0.0756
5670.13504,0.987,0.1154
5670.13874,0.9699,0.1084
5670.14244,1.1157,0.0947
5670.14614,1.3266,0.0817
5670.14984,1.2723,0.0755
5670.15231,1.1816,0.0836
5670.15723,1.3563,0.1233
5670.16094,1.5773,0.6489
5670.1689,0.9394,2.2454
5670.22297,2.3515,0.328
5671.09495,0.4375,0.9891
5671.1616,0.7459,0.9548
5671.17468,0.3613,3.4313
5671.17869,1.1878,0.4603
5671.1827,0.9158,0.4774
5671.18642,0.987,0.2735
5671.19381,0.819,0.2053
5671.19997,0.836,0.2933
5671.20368,1.1699,0.1919
5671.2086,0.8725,0.1476
5671.21355,1.2104,0.1203
5671.2185,1.0387,0.1058
5671.22344,1.1393,0.21
5671.22837,1.0498,0.1886
5671.23206,0.7235,0.2695
5671.23699,0.9937,0.1557
5671.24192,1.2504,0.1842
5671.25288,1.2718,0.2143
5671.2578,1.0823,0.2342
5671.26539,1.0302,0.1349
5671.26909,1.1595,0.1628
5671.96327,1.1248,0.2615
5671.9645,0.5242,0.3549
5671.96593,1.3092,0.1941
5671.97704,0.9042,0.2328
5671.98814,1.3898,0.1696
5672.00047,1.4796,0.2119
5672.01157,1.4799,0.1609
5672.02021,1.5436,0.1226
5672.0239,1.3131,0.1705
5672.03804,1.5521,0.4224
5673.03243,0.6543,0.7084
5673.04608,0.9607,0.3771
5673.05309,0.7758,0.4322
5673.05611,0.765,0.5094
5673.07878,1.0594,0.3105
5673.0878,1.1022,0.6027
5673.09781,0.7202,1.2646
5673.10682,1.582,0.6653
5673.11383,-0.5198,7.6425
5673.11684,1.5655,0.6681
5673.14023,0.8587,0.6297
5673.14925,2.1682,0.9269
5673.18752,0.4023,1.1438
5673.19668,1.5523,0.239
5673.20645,0.4354,0.4761
5673.21648,2.1454,0.407
5673.26004,0.2661,0.6587
5673.26905,0.259,0.9657
5675.04355,1.7236,0.3631
5675.05465,0.9294,0.2329
5675.06574,1.0615,0.1532
5675.07807,1.1136,0.1319
5675.08918,1.2446,0.1288
5675.10028,0.7825,0.2827
5675.11421,1.1005,0.1993
5675.12777,1.1121,0.1776
5675.13886,0.7662,0.2502
5675.15119,1.208,0.1361
5675.1623,1.0421,0.153
5675.1734,0.9868,0.1292
5675.20226,1.2936,0.0929
5675.2146,1.2253,0.0998
5675.22571,1.117,0.1437
5675.23804,1.0976,0.1004
